Country,State ,City,Station,Last_Update,Latitude,Longitude,Pollutant_ID,Pollutant_Min,Pollutant_Max,Pollutant_Avg,Pollution Range,Pollution Category
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",05-02-2026 14:00,26.1403345,85.3650192,NH3,3,5,3,2,Good
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",05-02-2026 14:00,26.1403345,85.3650192,OZONE,5,56,17,51,Good
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",05-02-2026 14:00,25.586562,85.043586,PM10,NA,NA,NA,0,Severe
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",05-02-2026 14:00,25.592539,85.227158,PM2.5,66,82,76,16,Moderate
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",05-02-2026 14:00,25.592539,85.227158,PM10,91,109,103,18,Poor
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",05-02-2026 14:00,25.265194,87.012947,OZONE,17,32,22,15,Good
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",05-02-2026 14:00,25.204762,85.51496,PM10,19,73,50,54,Good
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",05-02-2026 14:00,25.56752,83.966379,PM10,46,78,65,32,Moderate
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",05-02-2026 14:00,25.56752,83.966379,NH3,3,3,3,0,Good
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",05-02-2026 14:00,25.7808257,84.7446768,PM2.5,25,311,79,286,Moderate
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",05-02-2026 14:00,25.610369,85.132568,NO2,1,2,2,1,Good
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",05-02-2026 14:00,25.610369,85.132568,SO2,1,23,19,22,Good
India,Bihar,Patna,"Muradpur, Patna - BSPCB",05-02-2026 14:00,25.619651,85.147382,PM10,67,95,81,28,Moderate
India,Bihar,Patna,"Muradpur, Patna - BSPCB",05-02-2026 14:00,25.619651,85.147382,NO2,4,8,6,4,Good
India,Bihar,Patna,"Muradpur, Patna - BSPCB",05-02-2026 14:00,25.619651,85.147382,SO2,7,10,9,3,Good
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",05-02-2026 14:00,25.599486,85.113666,PM2.5,32,80,53,48,Moderate
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",05-02-2026 14:00,25.599486,85.113666,PM10,67,90,79,23,Moderate
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",05-02-2026 14:00,25.42742023,86.13886079,NO2,5,11,8,6,Good
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",05-02-2026 14:00,25.42742023,86.13886079,NH3,10,11,11,1,Good
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",05-02-2026 14:00,25.42742023,86.13886079,SO2,23,27,25,4,Good
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",05-02-2026 14:00,26.80365,84.51954,NO2,8,9,8,1,Good
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",05-02-2026 14:00,24.792403,84.992416,PM10,71,153,104,82,Poor
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",05-02-2026 14:00,24.792403,84.992416,NH3,1,2,1,1,Good
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",05-02-2026 14:00,24.792403,84.992416,SO2,38,45,42,7,Good
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",05-02-2026 14:00,24.762518,84.982348,NO2,19,23,21,4,Good
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",05-02-2026 14:00,27.308328,84.531742,OZONE,9,11,10,2,Good
India,Bihar,Munger,"Town Hall, Munger - BSPCB",05-02-2026 14:00,25.376776,86.471523,NH3,2,2,2,0,Good
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",05-02-2026 14:00,27.308328,84.531742,PM2.5,57,173,92,116,Moderate
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",05-02-2026 14:00,27.308328,84.531742,NH3,1,1,1,0,Good
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",05-02-2026 14:00,26.987634,94.636574,OZONE,5,95,49,90,Good
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",05-02-2026 14:00,25.560083,87.553265,PM10,55,115,76,60,Moderate
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",05-02-2026 14:00,22.368195,82.746431,PM10,87,140,107,53,Poor
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",05-02-2026 14:00,22.368195,82.746431,NO2,NA,NA,NA,0,Severe
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",05-02-2026 14:00,22.368195,82.746431,SO2,5,41,11,36,Good
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",05-02-2026 14:00,22.348441,82.549611,PM10,58,489,134,431,Poor
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",05-02-2026 14:00,22.348441,82.549611,CO,24,44,26,20,Good
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",05-02-2026 14:00,22.12665,83.483212,PM2.5,57,94,76,37,Moderate
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",05-02-2026 14:00,22.12665,83.483212,OZONE,1,62,28,61,Good
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",05-02-2026 14:00,25.892357,86.590325,NO2,6,9,7,3,Good
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",05-02-2026 14:00,25.892357,86.590325,NH3,4,5,4,1,Good
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",05-02-2026 14:00,25.892357,86.590325,SO2,13,19,17,6,Good
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",05-02-2026 14:00,25.859655,85.77944,PM2.5,33,75,48,42,Good
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",05-02-2026 14:00,25.859655,85.77944,PM10,34,74,48,40,Good
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",05-02-2026 14:00,25.859655,85.77944,CO,7,11,10,4,Good
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",05-02-2026 14:00,21.258815,81.578979,CO,38,76,59,38,Moderate
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",05-02-2026 14:00,21.219665,81.630094,NO2,38,68,49,30,Good
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",05-02-2026 14:00,21.237755,81.705301,NO2,15,41,21,26,Good
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",05-02-2026 14:00,21.237755,81.705301,NH3,2,2,2,0,Good
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",05-02-2026 14:00,21.237755,81.705301,OZONE,1,52,2,51,Good
India,Bihar,Patna,"Samanpura, Patna - BSPCB",05-02-2026 14:00,25.596727,85.085624,NO2,20,24,22,4,Good
